productUid,title,collectionHandle,catalogUid,attributesJson
cards_pf_210x279-mm_pt_130-lb-cover-coated-silk_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""130-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_130-lb-cover-coated-silk_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""130-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_130-lb-cover-uncoated_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""130-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_250-gsm-coated-silk_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""250-gsm-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_250-gsm-coated-silk_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""250-gsm-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_250-gsm-uncoated_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""250-gsm-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_250-gsm-uncoated_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""250-gsm-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_300-gsm-uncoated_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""300-gsm-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_300-gsm-uncoated_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""300-gsm-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_350-gsm-coated-silk_cl_4-0_hor,Posters — 210x279-mm — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""210x279-mm"",""PaperType"":""350-gsm-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_210x279-mm_pt_350-gsm-coated-silk_cl_4-0_ver,Posters — 210x279-mm — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""210x279-mm"",""PaperType"":""350-gsm-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_4x9-inch_pt_100-lb-cover-coated-silk_cl_4-0_hor,Posters — 4x9-inch — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""4x9-inch"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_4x9-inch_pt_100-lb-cover-coated-silk_cl_4-0_ver,Posters — 4x9-inch — ver,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""ver"",""PaperFormat"":""4x9-inch"",""PaperType"":""100-lb-cover-coated-silk"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
cards_pf_4x9-inch_pt_100-lb-cover-uncoated_cl_4-0_hor,Posters — 4x9-inch — hor,posters,posters,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""PaperFormat"":""4x9-inch"",""PaperType"":""100-lb-cover-uncoated"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""ShapeEdgeType"":""none"",""SpotFinishingType"":""none"",""State"":""published"",""Variable"":""no""}"
