productUid,title,collectionHandle,catalogUid,attributesJson
wood_200x600-mm-8x24-inch_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x600-mm-8x24-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_200x600-mm-8x24-inch_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x600-mm-8x24-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x600-mm-8x24-inch_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x600-mm-8x24-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_20x20-inch-500x500-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x20-inch-500x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x20-inch-500x500-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x20-inch-500x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x20-inch-500x500-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x20-inch-500x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_20x20-inch-500x500-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x20-inch-500x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_20x28-inch-500x700-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x28-inch-500x700-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x28-inch-500x700-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x28-inch-500x700-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x28-inch-500x700-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x28-inch-500x700-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
