productUid,title,collectionHandle,catalogUid,attributesJson
acrylic_200x300-mm-8x12-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""200x300-mm-8x12-inch""}"
acrylic_200x300-mm-8x12-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""200x300-mm-8x12-inch""}"
acrylic_200x600-mm-8x24-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""200x600-mm-8x24-inch""}"
acrylic_200x600-mm-8x24-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""200x600-mm-8x24-inch""}"
acrylic_20x20-inch-500x500-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x20-inch-500x500-mm""}"
acrylic_20x20-inch-500x500-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x20-inch-500x500-mm""}"
acrylic_20x28-inch-500x700-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x28-inch-500x700-mm""}"
acrylic_20x28-inch-500x700-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x28-inch-500x700-mm""}"
acrylic_20x30-inch-500x750-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x30-inch-500x750-mm""}"
acrylic_20x30-inch-500x750-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""20x30-inch-500x750-mm""}"
acrylic_24x24-inch-600x600-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x24-inch-600x600-mm""}"
acrylic_24x24-inch-600x600-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x24-inch-600x600-mm""}"
acrylic_24x32-inch-600x800-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x32-inch-600x800-mm""}"
acrylic_24x32-inch-600x800-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x32-inch-600x800-mm""}"
acrylic_24x36-inch-600x900-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x36-inch-600x900-mm""}"
acrylic_24x36-inch-600x900-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""24x36-inch-600x900-mm""}"
acrylic_28x40-inch-700x1000-mm_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""28x40-inch-700x1000-mm""}"
acrylic_28x40-inch-700x1000-mm_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""28x40-inch-700x1000-mm""}"
acrylic_300x300-mm-12x12-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x300-mm-12x12-inch""}"
acrylic_300x300-mm-12x12-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x300-mm-12x12-inch""}"
acrylic_300x400-mm-12x16-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x400-mm-12x16-inch""}"
acrylic_300x400-mm-12x16-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x400-mm-12x16-inch""}"
acrylic_300x450-mm-12x18-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x450-mm-12x18-inch""}"
acrylic_300x450-mm-12x18-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x450-mm-12x18-inch""}"
acrylic_300x900-mm-12x36-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x900-mm-12x36-inch""}"
acrylic_300x900-mm-12x36-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""300x900-mm-12x36-inch""}"
acrylic_400x400-mm-16x16-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x400-mm-16x16-inch""}"
acrylic_400x400-mm-16x16-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x400-mm-16x16-inch""}"
acrylic_400x500-mm-16x20-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x500-mm-16x20-inch""}"
acrylic_400x500-mm-16x20-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x500-mm-16x20-inch""}"
acrylic_400x600-mm-16x24-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x600-mm-16x24-inch""}"
acrylic_400x600-mm-16x24-inch_4-mm_4-0_ver,Acrylic prints — ver,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""400x600-mm-16x24-inch""}"
acrylic_450x600-mm-18x24-inch_4-mm_4-0_hor,Acrylic prints — hor,acrylic-prints,acrylic,"{""AcrylicEdge"":""none"",""AcrylicProperties"":""4-mm"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedAcrylicFormat"":""450x600-mm-18x24-inch""}"
