productUid,title,collectionHandle,catalogUid,attributesJson
framed_canvas_geo_simplified_200x300-mm-8x12-inch_natural-wood_252x352-mm-10x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_200x300-mm-8x12-inch_natural-wood_252x352-mm-10x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 200x300-mm-8x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch"",""UnifiedFrameSize"":""252x352-mm-10x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_black_352x352-mm-14x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_black_352x352-mm-14x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_dark-wood_352x352-mm-14x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_dark-wood_352x352-mm-14x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_natural-wood_352x352-mm-14x14-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x300-mm-12x12-inch_natural-wood_352x352-mm-14x14-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x300-mm-12x12-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""natural-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch"",""UnifiedFrameSize"":""352x352-mm-14x14-inch""}"
framed_canvas_geo_simplified_300x400-mm-12x16-inch_black_352x452-mm-14x18-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x400-mm-12x16-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x400-mm-12x16-inch"",""UnifiedFrameSize"":""352x452-mm-14x18-inch""}"
framed_canvas_geo_simplified_300x400-mm-12x16-inch_black_352x452-mm-14x18-inch_wood-fsc-slim_ver_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x400-mm-12x16-inch — ver,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""black"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x400-mm-12x16-inch"",""UnifiedFrameSize"":""352x452-mm-14x18-inch""}"
framed_canvas_geo_simplified_300x400-mm-12x16-inch_dark-wood_352x452-mm-14x18-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,Framed canvas — 300x400-mm-12x16-inch — hor,framed-canvas,framed-canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""FrameColor"":""dark-wood"",""FrameMaterial"":""wood"",""FrameProperties"":""w14xt42-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x400-mm-12x16-inch"",""UnifiedFrameSize"":""352x452-mm-14x18-inch""}"
