Product Title,Product Description,Product UID,Print File URL,Should Publish Images?,Collection Handle,Gelato Catalog
Pixora Canvas prints,"Personalised canvas prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",canvas_11x14-inch-270x350-mm_canvas_wood-fsc-slim_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,canvas-prints,canvas
Pixora Framed canvas,"Personalised framed canvas from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",framed_canvas_geo_simplified_200x250-mm-8x10-inch_black_252x302-mm-10x12-inch_wood-fsc-slim_hor_wood_w14xt42-mm_canvas_4-0,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,framed-canvas,framed-canvas
Pixora Framed prints,"Personalised framed prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",frame_and_poster_product_frs_1000x1000-mm_frc_black_frm_aluminum_frp_w10xt22-mm_gt_plexiglass__pf_1000x1000-mm_pt_200-gsm-coated-silk_cl_4-0_ct_none_prt_none_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,framed-prints,framed-posters
Pixora Metal / aluminium prints,"Personalised metal / aluminium prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",metallic_12x12-inch-300x300-mm_3-mm-silver-brushed_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,aluminum-prints,metallic
Pixora Acrylic prints,"Personalised acrylic prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",acrylic_12x12-inch-300x300-mm_4-mm_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,acrylic-prints,acrylic
Pixora Posters,"Personalised posters from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",cards_pf_140x180-mm_pt_100-lb-cover-coated-silk_cl_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,posters,posters
Pixora Posters with hangers,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_170-gsm-65lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,posters-with-hangers,poster-hangers
Pixora Foam prints,"Personalised foam prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",foam_12x12-inch-300x300-mm_5-mm_black_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,foam-prints,foam-print-product
Pixora Wood prints,"Personalised wood prints from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wood_12x12-inch-300x300-mm_lined-plywood_10-mm_hor-grain_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes,wood-prints,wood-prints
