productUid,title,collectionHandle,catalogUid,attributesJson
canvas_16x20-inch-400x500-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 16x20-inch-400x500-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x20-inch-400x500-mm""}"
canvas_16x20-inch-400x500-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 16x20-inch-400x500-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x20-inch-400x500-mm""}"
canvas_16x24-inch-400x600-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 16x24-inch-400x600-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x24-inch-400x600-mm""}"
canvas_16x24-inch-400x600-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 16x24-inch-400x600-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x24-inch-400x600-mm""}"
canvas_16x32-inch-400x800-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 16x32-inch-400x800-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x32-inch-400x800-mm""}"
canvas_16x32-inch-400x800-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 16x32-inch-400x800-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""16x32-inch-400x800-mm""}"
canvas_18x24-inch-450x600-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 18x24-inch-450x600-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""18x24-inch-450x600-mm""}"
canvas_18x24-inch-450x600-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 18x24-inch-450x600-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""18x24-inch-450x600-mm""}"
canvas_200x200-mm-8x8-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 200x200-mm-8x8-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x200-mm-8x8-inch""}"
canvas_200x200-mm-8x8-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 200x200-mm-8x8-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x200-mm-8x8-inch""}"
canvas_200x250-mm-8x10-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 200x250-mm-8x10-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch""}"
canvas_200x250-mm-8x10-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 200x250-mm-8x10-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x250-mm-8x10-inch""}"
canvas_200x300-mm-8x12-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 200x300-mm-8x12-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch""}"
canvas_200x300-mm-8x12-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 200x300-mm-8x12-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x300-mm-8x12-inch""}"
